Coupet Review Session (Room 240),12/6/2004,10:00 AM,12/6/2004,1:00 PM,FALSE,FALSE,
Coupet -Video Int'l & Comparative Family Law (Room 260),2/3/2005,5:00 PM,2/3/2005,7:00 PM,FALSE,FALSE,ACADEMIC CALENDAR
Crim Law Review (Room 160),12/2/2004,10:00 AM,12/2/2004,11:00 AM,FALSE,FALSE,ACADEMIC CALENDAR
Criminal Law Review (Rm 110),11/4/2004,1:00 PM,11/4/2004,2:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Criminal Law Review (Rm 110),11/18/2004,1:00 PM,11/18/2004,2:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
CTA U-Pass Distribution (First Year and Returning Students) - Room L14,8/22/2005,2:00 PM,8/22/2005,5:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
CTA U-Pass Distribution (First Year and Returning Students) - Room L14,8/23/2005,2:00 PM,8/23/2005,6:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
CTA U-Pass Distribution (First Year and Returning Students) - Room L14,8/24/2005,3:00 PM,8/24/2005,6:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Danko Office Hours Rm 320,10/21/2004,1:00 PM,10/21/2004,2:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Danko Office Hours Rm 320,10/28/2004,1:00 PM,10/28/2004,2:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Danko Office Hours Rm 320,11/4/2004,1:00 PM,11/4/2004,2:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Danko Office Hours Rm 320,11/11/2004,1:00 PM,11/11/2004,2:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Danko Office Hours Rm 320,11/18/2004,1:00 PM,11/18/2004,2:00 PM,FALSE,FALSE,STUDENT ACTIVITIES
Dates to withdraw with W - January 22-February 4,1/22/2005,1:00 AM,1/22/2005,1:00 AM,FALSE,FALSE,
Dean Candidate--Open Meeting with Students (Rm 140),1/20/2005,2:00 PM,1/20/2005,3:00 PM,FALSE,FALSE,PROGRAMS/EVENTS
Dean Search Candidate (McConnaughay)Open Student Meeting (Room 140)),1/18/2005,4:45 PM,1/18/2005,5:25 PM,FALSE,FALSE,PROGRAMS/EVENTS
Deans' Roundtable,11/11/2004,5:30 PM,11/11/2004,6:30 PM,FALSE,FALSE,STUDENT ACTIVITIES
